Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_20:0	ConstantProduct	566.3816308393606	184.07332101418055		Positive	C28H57O8N1P1	C5H15O4N1P1	0	120	
PC_20:1	ConstantProduct	564.3659807752205	184.07332101418055		Positive	C28H55O8N1P1	C5H15O4N1P1	0	120	
PC_22:0	ConstantProduct	594.4129309676406	184.07332101418055		Positive	C30H61O8N1P1	C5H15O4N1P1	0	120	
PC_22:1	ConstantProduct	592.3972809035005	184.07332101418055		Positive	C30H59O8N1P1	C5H15O4N1P1	0	120	
PC_24:0	ConstantProduct	622.4442310959205	184.07332101418055		Positive	C32H65O8N1P1	C5H15O4N1P1	0	120	
PC_24:1	ConstantProduct	620.4285810317805	184.07332101418055		Positive	C32H63O8N1P1	C5H15O4N1P1	0	120	
PC_24:2	ConstantProduct	618.4129309676406	184.07332101418055		Positive	C32H61O8N1P1	C5H15O4N1P1	0	120	
PC_25:0	ConstantProduct	636.4598811600605	184.07332101418055		Positive	C33H67O8N1P1	C5H15O4N1P1	0	120	
PC_25:1	ConstantProduct	634.4442310959205	184.07332101418055		Positive	C33H65O8N1P1	C5H15O4N1P1	0	120	
PC_25:2	ConstantProduct	632.4285810317805	184.07332101418055		Positive	C33H63O8N1P1	C5H15O4N1P1	0	120	
PC_26:0	ConstantProduct	650.4755312242005	184.07332101418055		Positive	C34H69O8N1P1	C5H15O4N1P1	0	120	
PC_26:1	ConstantProduct	648.4598811600605	184.07332101418055		Positive	C34H67O8N1P1	C5H15O4N1P1	0	120	
PC_26:2	ConstantProduct	646.4442310959205	184.07332101418055		Positive	C34H65O8N1P1	C5H15O4N1P1	0	120	
PC_26:3	ConstantProduct	644.4285810317805	184.07332101418055		Positive	C34H63O8N1P1	C5H15O4N1P1	0	120	
PC_27:0	ConstantProduct	664.4911812883405	184.07332101418055		Positive	C35H71O8N1P1	C5H15O4N1P1	0	120	
PC_27:1	ConstantProduct	662.4755312242005	184.07332101418055		Positive	C35H69O8N1P1	C5H15O4N1P1	0	120	
PC_27:2	ConstantProduct	660.4598811600605	184.07332101418055		Positive	C35H67O8N1P1	C5H15O4N1P1	0	120	
PC_27:3	ConstantProduct	658.4442310959205	184.07332101418055		Positive	C35H65O8N1P1	C5H15O4N1P1	0	120	
PC_28:0	ConstantProduct	678.5068313524806	184.07332101418055		Positive	C36H73O8N1P1	C5H15O4N1P1	0	120	
PC_28:1	ConstantProduct	676.4911812883405	184.07332101418055		Positive	C36H71O8N1P1	C5H15O4N1P1	0	120	
PC_28:2	ConstantProduct	674.4755312242006	184.07332101418055		Positive	C36H69O8N1P1	C5H15O4N1P1	0	120	
PC_28:3	ConstantProduct	672.4598811600605	184.07332101418055		Positive	C36H67O8N1P1	C5H15O4N1P1	0	120	
PC_28:4	ConstantProduct	670.4442310959205	184.07332101418055		Positive	C36H65O8N1P1	C5H15O4N1P1	0	120	
PC_28:5	ConstantProduct	668.4285810317805	184.07332101418055		Positive	C36H63O8N1P1	C5H15O4N1P1	0	120	
